,Date,Day,Buy Price,Qty,Investment Amount
0,02-01-09,4,30.556,8,244.448
1,05-01-09,0,31.174999,7,218.22499299999998
2,06-01-09,1,31.124001,7,217.868007
3,07-01-09,2,29.264999,8,234.119992
4,09-01-09,4,28.855,8,230.84
5,12-01-09,0,27.726,8,221.808
6,13-01-09,1,27.636999,8,221.095992
7,14-01-09,2,28.492001,8,227.936008
8,15-01-09,3,27.65,8,221.2
9,16-01-09,4,28.511,8,228.088
10,19-01-09,0,28.445999,8,227.567992
11,20-01-09,1,28.313999,8,226.511992
12,21-01-09,2,27.535999,9,247.823991
13,22-01-09,3,27.35,9,246.15
14,23-01-09,4,27.211,9,244.899
15,27-01-09,1,27.721001,8,221.768008
16,28-01-09,2,28.496,8,227.968
17,29-01-09,3,28.257,8,226.056
18,30-01-09,4,28.969,8,231.752
19,02-02-09,0,28.17,8,225.36
20,03-02-09,1,28.291,8,226.328
21,04-02-09,2,28.103001,8,224.824008
22,05-02-09,3,28.02,8,224.16
23,06-02-09,4,28.618999,8,228.951992
24,09-02-09,0,29.327999,8,234.623992
25,10-02-09,1,29.556,8,236.448
26,11-02-09,2,29.450001,8,235.600008
27,12-02-09,3,29.142,8,233.136
28,13-02-09,4,29.815001,8,238.520008
29,16-02-09,0,28.542,8,228.336
30,17-02-09,1,27.908001,8,223.264008
31,18-02-09,2,28.149,8,225.192
32,19-02-09,3,28.299,8,226.392
33,20-02-09,4,27.488001,9,247.392009
34,24-02-09,1,27.523001,9,247.707009
35,25-02-09,2,27.948,8,223.584
36,26-02-09,3,28.018999,8,224.151992
37,27-02-09,4,28.016001,8,224.128008
38,02-03-09,0,27.046,9,243.414
39,03-03-09,1,26.756001,9,240.804009
40,04-03-09,2,26.936001,9,242.424009
41,05-03-09,3,25.981001,9,233.82900899999999
42,06-03-09,4,26.634001,9,239.70600900000002
43,09-03-09,0,26.24,9,236.16
44,12-03-09,3,26.643999,9,239.79599100000001
45,13-03-09,4,27.431,9,246.87900000000002
46,16-03-09,0,28.018,8,224.144
