,Date,Day,Buy Price,Qty,Investment Amount
0,29-01-09,3,28.257,176,4973.232
1,26-02-09,3,28.018999,178,4987.381822
2,26-03-09,3,30.973,161,4986.653
3,29-04-09,3,34.849998,143,4983.549714
4,28-05-09,3,43.479,114,4956.606
5,25-06-09,3,42.969002,116,4984.404232000001
6,30-07-09,3,45.487999,109,4958.191891
7,27-08-09,3,46.839001,106,4964.934106000001
8,24-09-09,3,49.652,100,4965.2
9,29-10-09,3,47.978001,104,4989.712104
10,26-11-09,3,50.231998,99,4972.967802
11,31-12-09,3,52.171001,95,4956.245094999999
12,28-01-10,3,49.360001,101,4985.360100999999
13,25-02-10,3,48.599998,102,4957.199796
14,25-03-10,3,52.764999,94,4959.909906
15,29-04-10,3,52.355,95,4973.724999999999
16,27-05-10,3,49.799999,100,4979.9999
17,24-06-10,3,53.009998,94,4982.9398120000005
18,29-07-10,3,54.794998,91,4986.344818
19,26-08-10,3,54.470001,91,4956.770091
20,30-09-10,3,60.150002,83,4992.450166
21,28-10-10,3,60.868999,82,4991.257918
22,25-11-10,3,58.966,84,4953.144
23,30-12-10,3,61.164001,81,4954.284081
24,27-01-11,3,56.900002,87,4950.300174
25,24-02-11,3,53.528999,93,4978.196907
26,31-03-11,3,58.432999,85,4966.804915000001
27,28-04-11,3,58.506001,85,4973.010085
28,26-05-11,3,55.113998,90,4960.25982
29,30-06-11,3,56.993999,87,4958.477913000001
30,28-07-11,3,56.182999,88,4944.1039120000005
31,25-08-11,3,49.671001,100,4967.1001
32,29-09-11,3,50.807999,98,4979.183902000001
33,20-10-11,3,51.837002,96,4976.352192
34,24-11-11,3,48.574001,102,4954.548102000001
35,29-12-11,3,47.433998,105,4980.5697900000005
36,19-01-12,3,50.598,98,4958.604
37,23-02-12,3,55.611,89,4949.379
38,29-03-12,3,52.25,95,4963.75
39,26-04-12,3,52.390999,95,4977.144905
40,31-05-12,3,49.870998,100,4987.0998
41,28-06-12,3,51.925999,96,4984.895904
42,26-07-12,3,51.186001,97,4965.042097
43,30-08-12,3,53.391998,93,4965.455814
44,27-09-12,3,56.841,87,4945.167
45,25-10-12,3,57.466,87,4999.542
46,29-11-12,3,59.075069,84,4962.305796
47,27-12-12,3,59.537849,83,4941.641467
48,31-01-13,3,61.187,81,4956.147
49,28-02-13,3,57.73103,86,4964.868579999999
50,28-03-13,3,56.941429,87,4953.904323
51,25-04-13,3,59.259991,84,4977.839244
52,30-05-13,3,61.508121,81,4982.157801
53,27-06-13,3,57.118999,87,4969.352913000001
54,25-07-13,3,59.583,83,4945.389
55,29-08-13,3,54.592999,91,4967.962909
56,26-09-13,3,59.599998,83,4946.799834
57,31-10-13,3,63.591999,78,4960.175922
58,28-11-13,3,61.547001,81,4985.307081
59,26-12-13,3,63.560001,78,4957.680078
60,30-01-14,3,61.674,81,4995.594
61,20-02-14,3,61.828999,80,4946.31992
62,27-03-14,3,66.265999,75,4969.949925
63,23-04-14,3,68.713997,72,4947.407784000001
64,29-05-14,3,72.962997,68,4961.483796
65,26-06-14,3,75.634003,66,4991.844198000001
66,31-07-14,3,78.014,64,4992.896
67,28-08-14,3,80.612,62,4997.9439999999995
68,25-09-14,3,80.237,62,4974.6939999999995
69,30-10-14,3,82.842003,60,4970.52018
70,27-11-14,3,86.323997,57,4920.467829
71,18-12-14,3,82.594002,60,4955.64012
72,29-01-15,3,90.219002,55,4962.04511
73,26-02-15,3,87.367996,57,4979.975772000001
74,26-03-15,3,84.321999,59,4974.9979410000005
75,30-04-15,3,82.275002,60,4936.50012
76,28-05-15,3,83.470001,59,4924.7300589999995
77,25-06-15,3,84.502998,59,4985.676882000001
78,30-07-15,3,85.357002,58,4950.706115999999
79,27-08-15,3,80.565002,62,4995.030124000001
80,24-09-15,3,80.126999,62,4967.873938
81,29-10-15,3,82.339996,60,4940.39976
82,26-11-15,3,79.802002,62,4947.724124
83,31-12-15,3,80.301003,62,4978.662186
84,28-01-16,3,75.054001,66,4953.564066
85,25-02-16,3,70.732002,70,4951.24014
86,31-03-16,3,79.126999,63,4985.000937
87,28-04-16,3,79.466003,62,4926.892186
88,26-05-16,3,81.514999,61,4972.414939
89,30-06-16,3,84.288002,59,4972.992118
90,28-07-16,3,88.117996,56,4934.607776000001
91,25-08-16,3,87.747002,56,4913.832112
92,29-09-16,3,88.057999,56,4931.247944
93,27-10-16,3,88.079002,56,4932.424112000001
94,24-11-16,3,81.764,61,4987.603999999999
95,29-12-16,3,82.581001,60,4954.86006
96,19-01-17,3,85.950996,58,4985.157768
97,23-02-17,3,91.130997,54,4921.073837999999
98,30-03-17,3,93.757004,53,4969.121212
99,27-04-17,3,95.348999,52,4958.147948000001
100,25-05-17,3,97.045998,51,4949.345898
101,29-06-17,3,97.355003,51,4965.1051529999995
102,27-07-17,3,103.045998,48,4946.207904
103,31-08-17,3,102.153,48,4903.344
104,28-09-17,3,101.004997,49,4949.244853
105,26-10-17,3,106.380997,47,4999.906859
106,30-11-17,3,105.746002,47,4970.062094
107,28-12-17,3,107.987999,46,4967.447954
