,Date,Day,Buy Price,Qty,Investment Amount
0,05-01-09,0,31.174999,160,4987.99984
1,13-02-09,4,29.815001,167,4979.105167
2,27-03-09,4,31.221001,160,4995.36016
3,24-04-09,4,35.067001,142,4979.514142
4,29-05-09,4,44.606998,112,4995.983776
5,10-06-09,2,46.689999,107,4995.829893
6,31-07-09,4,46.138,108,4982.9039999999995
7,28-08-09,4,47.16,106,4998.96
8,30-09-09,2,50.477001,99,4997.223099
9,16-10-09,4,51.299,97,4976.003
10,25-11-09,2,51.073002,97,4954.081194
11,31-12-09,3,52.171001,95,4956.245094999999
12,06-01-10,2,53.087002,94,4990.178188
13,05-02-10,4,54.5,91,4959.5
14,26-03-10,4,52.915001,94,4974.010093999999
15,05-04-10,0,53.845001,92,4953.740092
16,03-05-10,0,52.150002,95,4954.25019
17,22-06-10,1,53.990002,92,4967.0801839999995
18,29-07-10,3,54.794998,91,4986.344818
19,23-08-10,0,55.93,89,4977.7699999999995
20,27-09-10,0,60.98,81,4939.38
21,13-10-10,2,62.695,79,4952.905
22,09-11-10,1,63.776001,78,4974.528078
23,31-12-10,4,61.880001,80,4950.40008
24,03-01-11,0,62.166,80,4973.28
25,17-02-11,3,55.976002,89,4981.864178
26,30-03-11,2,58.570999,85,4978.534915
27,04-04-11,0,59.571999,83,4944.475917
28,02-05-11,0,57.654999,86,4958.329914
29,30-06-11,3,56.993999,87,4958.477913000001
30,07-07-11,3,57.976002,86,4985.936172
31,01-08-11,0,56.502998,88,4972.263824
32,08-09-11,3,52.292,95,4967.74
33,28-10-11,4,54.506001,91,4960.046091
34,08-11-11,1,53.701,93,4994.193
35,02-12-11,4,51.308998,97,4976.972806000001
36,31-01-12,1,52.588001,95,4995.860095
37,21-02-12,1,56.769001,88,4995.672088
38,14-03-12,2,54.806,91,4987.346
39,03-04-12,1,53.783001,92,4948.036092
40,02-05-12,2,52.566002,95,4993.77019
41,29-06-12,4,53.398998,93,4966.106814
42,05-07-12,3,53.587002,93,4983.591186
43,23-08-12,3,54.458,91,4955.678
44,28-09-12,4,57.275002,87,4982.925174
45,04-10-12,3,58.252998,85,4951.50483
46,30-11-12,4,59.629749,83,4949.2691669999995
47,06-12-12,3,60.14249,83,4991.82667
48,21-01-13,0,61.669159,81,4995.201879
49,01-02-13,4,60.822941,82,4987.481162
50,08-03-13,4,60.299629,82,4944.569578000001
51,30-04-13,1,59.396179,84,4989.279036
52,17-05-13,4,62.001251,80,4960.10008
53,03-06-13,0,59.74551,83,4958.87733
54,23-07-13,1,61.212002,81,4958.172162
55,14-08-13,2,58.013,86,4989.1179999999995
56,19-09-13,3,61.757999,80,4940.63992
57,31-10-13,3,63.591999,78,4960.175922
58,01-11-13,4,63.803001,78,4976.634078
59,09-12-13,0,64.216003,77,4944.632231
60,23-01-14,3,64.291,77,4950.407
61,28-02-14,4,63.441002,78,4948.398156
62,31-03-14,0,67.0,74,4958.0
63,23-04-14,2,68.713997,72,4947.407784000001
64,23-05-14,4,74.008003,67,4958.536201
65,10-06-14,1,77.160004,64,4938.240256
66,24-07-14,3,78.819,63,4965.597
67,28-08-14,3,80.612,62,4997.9439999999995
68,22-09-14,0,82.592003,60,4955.52018
69,31-10-14,4,84.114998,59,4962.784882
70,28-11-14,4,86.931,57,4955.067
71,04-12-14,3,86.819,57,4948.683
72,29-01-15,3,90.219002,55,4962.04511
73,18-02-15,2,89.820999,55,4940.154945
74,03-03-15,1,90.178001,55,4959.7900549999995
75,13-04-15,0,88.378998,56,4949.2238879999995
76,22-05-15,4,84.761002,58,4916.138116
77,01-06-15,0,84.763,58,4916.254
78,17-07-15,4,87.216003,57,4971.312171
79,06-08-15,3,87.000999,57,4959.056943
80,18-09-15,4,80.537003,62,4993.294186
81,23-10-15,4,83.742996,59,4940.836764000001
82,03-11-15,1,81.808998,61,4990.348878
83,01-12-15,1,80.392998,62,4984.365876000001
