,Date,Day,Buy Price,Qty,Investment Amount
0,23-01-09,4,27.211,183,4979.612999999999
1,20-02-09,4,27.488001,181,4975.328181
2,05-03-09,3,25.981001,192,4988.352192
3,01-04-09,2,30.871,161,4970.231
4,11-05-09,0,35.73,139,4966.469999999999
5,25-06-09,3,42.969002,116,4984.404232000001
6,13-07-09,0,39.887001,125,4985.875125
7,19-08-09,2,44.046761,113,4977.283993
8,03-09-09,3,45.77,109,4988.93
9,30-10-09,4,47.558998,105,4993.6947900000005
10,03-11-09,1,46.152,108,4984.416
11,21-12-09,0,49.792999,100,4979.2999
12,28-01-10,3,49.360001,101,4985.360100999999
13,15-02-10,0,47.810001,104,4972.240104
14,02-03-10,1,50.400002,99,4989.600198
15,20-04-10,1,52.169998,95,4956.14981
16,26-05-10,2,49.59,100,4959.0
17,01-06-10,1,50.0,100,5000.0
18,02-07-10,4,52.5,95,4987.5
19,17-08-10,1,54.02,92,4969.84
20,01-09-10,2,54.5,91,4959.5
21,06-10-10,2,52.5,95,4987.5
22,26-11-10,4,58.599998,85,4980.99983
23,09-12-10,3,58.533001,85,4975.305085
24,31-01-11,0,55.467999,90,4992.11991
25,10-02-11,3,53.124001,94,4993.656094
26,21-03-11,0,54.539001,91,4963.049091
27,18-04-11,0,57.761002,86,4967.446172
28,25-05-11,2,54.459999,91,4955.859909000001
29,20-06-11,0,53.723,93,4996.239
30,28-07-11,3,56.182999,88,4944.1039120000005
31,26-08-11,4,48.731998,102,4970.663796
32,26-09-11,0,49.388,101,4988.188
33,05-10-11,2,48.542999,103,4999.928897
34,23-11-11,2,48.257999,103,4970.573897
35,20-12-11,1,46.386002,107,4963.302213999999
36,02-01-12,0,47.178001,105,4953.690105000001
37,01-02-12,2,52.997002,94,4981.718188
38,26-03-12,0,52.189999,95,4958.049905
39,27-04-12,4,52.141998,95,4953.48981
40,23-05-12,2,48.771999,102,4974.743898
41,01-06-12,4,49.014,102,4999.428
42,26-07-12,3,51.186001,97,4965.042097
43,03-08-12,4,52.681,94,4952.014
44,05-09-12,2,52.604,95,4997.38
45,30-10-12,1,56.745781,88,4993.628728
46,19-11-12,0,56.51329,88,4973.1695199999995
47,21-12-12,4,59.287231,84,4980.127404
48,11-01-13,4,60.347301,82,4948.478682
49,28-02-13,3,57.73103,86,4964.868579999999
50,25-03-13,0,56.459671,88,4968.451048
