Date,Close,Open,High,Low,Vol.,Change %
"Jan 31, 2022",187.55,187.37,187.68,186.88,982.09K,1.32%
"Jan 28, 2022",185.1,187.75,188.06,184.8,2.77M,-0.12%
"Jan 27, 2022",185.33,194,194,182.7,5.95M,-0.93%
"Jan 25, 2022",187.07,185.49,187.38,183.05,5.88M,0.69%
"Jan 24, 2022",185.79,196.8,196.8,184.05,9.71M,-2.54%
"Jan 21, 2022",190.64,191.99,191.99,189.22,3.14M,-0.80%
"Jan 20, 2022",192.18,195.8,195.8,191.1,3.13M,-1.03%
"Jan 19, 2022",194.18,221.4,221.4,193,1.95M,-0.91%
"Jan 18, 2022",195.97,199,199,195.6,1.94M,-1.04%
"Jan 17, 2022",198.03,223,223,195.7,1.66M,0.34%
"Jan 14, 2022",197.36,199.85,199.85,195.5,1.93M,0.18%
"Jan 13, 2022",197,198.8,198.8,195.8,1.97M,0.41%
"Jan 12, 2022",196.2,197.5,197.5,195.05,1.51M,0.78%
"Jan 11, 2022",194.69,196,196,193.25,1.06M,0.17%
"Jan 10, 2022",194.35,193.7,194.5,192.45,2.13M,1.00%
"Jan 07, 2022",192.42,194,194,191.4,1.16M,0.26%
"Jan 06, 2022",191.92,193,193,190.75,2.30M,-0.73%
"Jan 05, 2022",193.34,195,195,191.3,1.53M,0.46%
"Jan 04, 2022",192.46,198.91,198.91,189.2,1.99M,0.91%
"Jan 03, 2022",190.72,190,190.95,185.3,2.60M,1.56%
"Dec 31, 2021",187.79,188,188.77,185.15,2.53M,0.89%
"Dec 30, 2021",186.14,186.72,187.45,185.3,1.55M,0.01%
"Dec 29, 2021",186.12,188.9,188.9,182.5,1.15M,-0.10%
"Dec 28, 2021",186.3,187.45,187.45,184.55,1.82M,0.95%
"Dec 27, 2021",184.55,187.49,187.49,178,1.20M,0.60%
"Dec 24, 2021",183.45,187.5,187.5,180.1,1.56M,-0.35%
"Dec 23, 2021",184.1,187.5,187.5,183.5,2.00M,0.42%
"Dec 22, 2021",183.33,185,185,180.05,1.26M,1.04%
"Dec 21, 2021",181.45,185,185,180,2.31M,0.84%
"Dec 20, 2021",179.93,187.5,187.5,177.85,11.42M,-2.09%
"Dec 17, 2021",183.77,190,190,182,3.43M,-1.53%
"Dec 16, 2021",186.62,190,190,185,1.96M,0.20%
"Dec 15, 2021",186.25,192,192,185.45,1.08M,-0.58%
"Dec 14, 2021",187.33,188.15,192.4,184.91,1.05M,-0.30%
"Dec 13, 2021",187.9,192.4,192.4,187.6,1.53M,-0.63%
"Dec 10, 2021",189.09,185,192.5,185,994.68K,-0.03%
"Dec 09, 2021",189.14,192.5,192.5,187.16,1.11M,0.35%
"Dec 08, 2021",188.48,191,191,185.71,1.43M,1.49%
"Dec 07, 2021",185.71,190,190,180.1,1.22M,1.48%
"Dec 06, 2021",183.01,192.4,192.4,182.8,2.78M,-1.61%
"Dec 03, 2021",186,192.5,192.5,185.75,1.58M,-1.06%
"Dec 02, 2021",187.99,186.92,188.19,184.51,1.49M,1.22%
"Dec 01, 2021",185.72,187.5,187.5,183.1,1.17M,1.10%
"Nov 30, 2021",183.7,188,188,183.21,2.39M,-0.46%
"Nov 29, 2021",184.55,187.66,187.66,180.1,2.67M,0.02%
"Nov 26, 2021",184.51,193,193,183.81,6.06M,-2.64%
"Nov 25, 2021",189.51,188.7,189.85,187.12,1.80M,0.67%
"Nov 24, 2021",188.25,192.4,192.4,187.78,1.53M,-0.61%
"Nov 23, 2021",189.4,193.4,193.4,177.2,3.02M,0.46%
"Nov 22, 2021",188.53,197.44,209.4,186,5.17M,-1.88%
"Nov 18, 2021",192.14,197.44,197.44,191.33,1.52M,-0.72%
"Nov 17, 2021",193.53,199.5,199.5,192.1,688.80K,-0.48%
"Nov 16, 2021",194.47,199.5,199.5,194.15,814.11K,-0.54%
"Nov 15, 2021",195.52,199.5,199.5,190,996.74K,0.03%
"Nov 12, 2021",195.46,198,198,191.25,783.23K,1.14%
"Nov 11, 2021",193.25,199.9,199.9,192.1,1.52M,-0.72%
"Nov 10, 2021",194.66,199,199,192.93,992.04K,-0.11%
"Nov 09, 2021",194.88,200,200,193,893.32K,-0.25%
"Nov 08, 2021",195.37,200,200,192.6,1.52M,0.92%
"Nov 04, 2021",193.59,207.88,207.88,185.11,671.76K,0.52%
"Nov 03, 2021",192.58,200,200,190.1,955.40K,-0.27%
"Nov 02, 2021",193.1,206.9,206.9,183.6,1.28M,-0.38%
"Nov 01, 2021",193.84,208.88,208.88,191.36,1.71M,1.40%
"Oct 29, 2021",191.16,209,209,182.1,3.22M,-1.30%
"Oct 28, 2021",193.68,209,209,192.98,3.09M,-1.46%
"Oct 27, 2021",196.54,203.39,203.39,194.1,617.38K,-0.30%
"Oct 26, 2021",197.13,199.39,199.39,194.05,1.53M,0.73%
"Oct 25, 2021",195.71,198.65,198.65,194.06,1.77M,0.02%
"Oct 22, 2021",195.68,199.85,199.85,194.78,1.65M,-0.20%
"Oct 21, 2021",196.08,201.44,201.44,190.05,1.81M,-0.62%
"Oct 20, 2021",197.3,202.39,202.39,196.46,1.25M,-0.56%
"Oct 19, 2021",198.41,198.16,207.8,197.99,1.40M,-0.25%
"Oct 18, 2021",198.91,207.39,207.39,195.75,1.29M,0.91%
"Oct 14, 2021",197.11,205.28,205.28,195.75,1.44M,0.79%
"Oct 13, 2021",195.56,204.85,204.85,185.25,964.36K,0.98%
"Oct 12, 2021",193.66,219.8,219.8,182.6,977.09K,0.30%
"Oct 11, 2021",193.09,193.12,194,167.5,980.34K,0.26%
"Oct 08, 2021",192.58,197.44,197.44,190.15,995.59K,0.40%
"Oct 07, 2021",191.82,187.05,193.07,187.05,791.92K,0.86%
"Oct 06, 2021",190.19,199.39,199.39,187.1,1.36M,-1.05%
"Oct 05, 2021",192.2,191.65,192.3,189.7,1.03M,0.61%
"Oct 04, 2021",191.03,187.05,197.39,187.05,1.08M,0.96%
"Oct 01, 2021",189.22,193.5,193.5,188.42,1.59M,-0.47%
"Sep 30, 2021",190.11,197.44,197.44,189.2,1.27M,-0.54%
"Sep 29, 2021",191.15,174.2,209,174.2,947.85K,-0.15%
"Sep 28, 2021",191.44,221.7,221.7,189.86,2.05M,-0.70%
"Sep 27, 2021",192.79,204.74,204.74,183.66,1.56M,0.08%
"Sep 24, 2021",192.63,197.4,197.4,188,1.27M,0.18%
"Sep 23, 2021",192.29,194.4,194.4,190,1.01M,1.37%
"Sep 22, 2021",189.69,192.84,192.84,189.06,4.31M,0.02%
"Sep 21, 2021",189.66,199.65,199.65,187.12,4.12M,0.96%
"Sep 20, 2021",187.86,187.45,190.24,187.4,1.42M,-1.03%
"Sep 17, 2021",189.82,173.1,195.39,173.1,1.22M,-0.21%
"Sep 16, 2021",190.22,191.95,191.95,188.6,775.59K,0.64%
"Sep 15, 2021",189.01,163.2,192.35,163.2,671.94K,0.78%
"Sep 14, 2021",187.54,214.83,214.83,180.16,738.02K,0.23%
"Sep 13, 2021",187.11,188.2,188.2,186.45,1.22M,-0.17%
"Sep 09, 2021",187.42,193.39,193.39,186.05,541.35K,0.15%
"Sep 08, 2021",187.14,188.44,188.44,186.35,1.19M,-0.02%
"Sep 07, 2021",187.17,187.95,188.4,186.6,855.78K,-0.20%
"Sep 06, 2021",187.55,186.96,188.45,186.96,1.04M,0.34%
"Sep 03, 2021",186.91,172.31,193.39,172.31,1.33M,0.51%
"Sep 02, 2021",185.96,185.25,186,180.25,887.17K,0.90%
"Sep 01, 2021",184.31,187.7,187.7,171.16,2.86M,-0.13%
"Aug 31, 2021",184.55,193.43,193.43,182.01,1.83M,1.08%
"Aug 30, 2021",182.57,187.95,187.95,179.3,1.11M,1.29%
"Aug 27, 2021",180.24,184.83,184.83,168.7,773.60K,0.40%
"Aug 26, 2021",179.52,190,190,179,822.71K,0.03%
"Aug 25, 2021",179.47,193.95,193.95,179.2,640.11K,0.01%
"Aug 24, 2021",179.46,188.43,188.43,167.45,801.42K,0.76%
"Aug 23, 2021",178.1,193.43,193.43,177,899.82K,0.44%
"Aug 20, 2021",177.32,194,194,176.08,1.83M,-0.81%
"Aug 18, 2021",178.76,194.75,194.75,174.63,1.55M,-0.08%
"Aug 17, 2021",178.91,182.44,182.44,155.4,733.55K,0.17%
"Aug 16, 2021",178.6,179.9,179.9,176.6,758.50K,0.37%
"Aug 13, 2021",177.94,189.8,189.8,175.55,1.21M,1.00%
"Aug 12, 2021",176.17,176.7,176.7,174.55,793.64K,0.46%
"Aug 11, 2021",175.37,188.95,188.95,160.15,958.18K,-0.15%
"Aug 10, 2021",175.63,175.9,176.25,174.82,772.38K,0.13%
"Aug 09, 2021",175.41,177.8,177.8,170.15,717.38K,0.32%
"Aug 06, 2021",174.85,188.75,188.75,174.65,763.76K,-0.16%
"Aug 05, 2021",175.13,177.4,177.4,172.55,1.02M,0.26%
"Aug 04, 2021",174.67,174.75,175,173.15,1.28M,0.81%
"Aug 03, 2021",173.27,172.58,173.4,161,1.73M,1.33%
"Aug 02, 2021",171,174.69,174.69,170,953.70K,0.77%
"Jul 30, 2021",169.69,179.9,179.9,135.51,991.45K,-0.15%
"Jul 29, 2021",169.95,170.25,170.95,168.45,553.88K,0.36%
"Jul 28, 2021",169.34,172.55,172.55,167.4,1.80M,-0.20%
"Jul 27, 2021",169.68,174.74,174.74,169.24,1.01M,-0.35%
"Jul 26, 2021",170.28,174.84,174.84,169.1,1.12M,-0.17%
"Jul 23, 2021",170.57,172.78,172.78,166.05,997.33K,0.12%
"Jul 22, 2021",170.36,172.6,172.6,168.81,895.79K,1.08%
"Jul 20, 2021",168.54,184.83,184.83,167.96,2.19M,-0.72%
"Jul 19, 2021",169.77,174.94,174.94,169.02,1.37M,-0.96%
"Jul 16, 2021",171.41,173.2,173.2,151.7,610.26K,0.08%
"Jul 15, 2021",171.28,184.9,184.9,169.5,765.21K,0.40%
"Jul 14, 2021",170.6,172.35,172.35,166.55,699.26K,0.25%
"Jul 13, 2021",170.17,172.85,172.85,169.25,607.83K,0.67%
"Jul 12, 2021",169.04,176.39,176.39,165.17,842.74K,-0.02%
"Jul 09, 2021",169.07,173.4,173.4,168.5,1.42M,-0.24%
"Jul 08, 2021",169.47,172.2,180.7,169.02,1.29M,-0.58%
"Jul 07, 2021",170.46,172.25,172.25,169.14,715.93K,0.17%
"Jul 06, 2021",170.17,170.9,171,168.75,949.07K,0.02%
