,Date,Day,Buy Price,Qty,Investment Amount
0,02-01-09,4,30.556,163,4980.628
1,02-02-09,0,28.17,177,4986.09
2,02-03-09,0,27.046,184,4976.464
3,01-04-09,2,30.871,161,4970.231
4,04-05-09,0,36.598,136,4977.3279999999995
5,01-06-09,0,45.466999,109,4955.902891
6,01-07-09,2,44.051998,113,4977.875774
7,03-08-09,0,46.926998,106,4974.261788
8,01-09-09,1,45.895,108,4956.660000000001
9,01-10-09,3,50.598999,98,4958.701902
10,03-11-09,1,46.152,108,4984.416
11,01-12-09,1,51.330002,97,4979.010194
12,04-01-10,0,52.393002,95,4977.335190000001
13,01-02-10,0,50.490002,99,4998.510198
14,02-03-10,1,50.400002,99,4989.600198
15,01-04-10,3,53.099998,94,4991.399812
16,03-05-10,0,52.150002,95,4954.25019
17,01-06-10,1,50.0,100,5000.0
18,01-07-10,3,52.974998,94,4979.649812
19,02-08-10,0,54.424999,91,4952.674909
20,01-09-10,2,54.5,91,4959.5
21,01-10-10,4,61.5,81,4981.5
22,01-11-10,0,61.841999,80,4947.35992
23,01-12-10,2,59.953999,83,4976.181917
24,03-01-11,0,62.166,80,4973.28
25,01-02-11,1,54.597,91,4968.327
26,01-03-11,1,55.772999,89,4963.796910999999
27,01-04-11,4,58.966999,84,4953.227916
28,02-05-11,0,57.654999,86,4958.329914
29,01-06-11,2,56.34,88,4957.92
30,01-07-11,4,57.120998,87,4969.526826
31,01-08-11,0,56.502998,88,4972.263824
32,02-09-11,4,51.455002,97,4991.135194
33,03-10-11,0,49.480999,101,4997.580899
34,01-11-11,1,53.165001,94,4997.510093999999
35,01-12-11,3,50.194,99,4969.206
36,02-01-12,0,47.178001,105,4953.690105000001
37,01-02-12,2,52.997002,94,4981.718188
38,01-03-12,3,54.546001,91,4963.686091
39,02-04-12,0,53.346001,93,4961.178093
40,02-05-12,2,52.566002,95,4993.77019
41,01-06-12,4,49.014,102,4999.428
42,02-07-12,0,53.226002,93,4950.018186
43,01-08-12,2,52.780998,94,4961.413812
44,03-09-12,0,52.709999,94,4954.739906000001
45,01-10-12,0,57.519001,86,4946.634086
46,01-11-12,3,57.267479,87,4982.270673
47,03-12-12,0,59.537491,83,4941.611753
48,01-01-13,1,60.351662,82,4948.836284
49,01-02-13,4,60.822941,82,4987.481162
50,01-03-13,4,58.016109,86,4989.385374
51,01-04-13,0,57.1572,87,4972.6764
52,02-05-13,3,60.085941,83,4987.133103
53,03-06-13,0,59.74551,83,4958.87733
54,01-07-13,0,59.271999,84,4978.847916
55,01-08-13,3,57.923,86,4981.378000000001
56,02-09-13,0,56.061001,89,4989.429089
57,01-10-13,1,58.603001,85,4981.255085
58,01-11-13,4,63.803001,78,4976.634078
59,02-12-13,0,62.902,79,4969.258
60,01-01-14,2,63.719002,78,4970.082156
61,03-02-14,0,61.291,81,4964.571
62,03-03-14,0,62.879002,79,4967.441158
63,01-04-14,1,67.146004,74,4968.804296
64,02-05-14,4,66.981003,74,4956.594222
65,02-06-14,0,73.740997,67,4940.646798999999
66,01-07-14,1,76.763,65,4989.595
67,01-08-14,4,77.115997,64,4935.423808
68,01-09-14,0,81.285004,61,4958.385244
69,01-10-14,2,80.557999,62,4994.5959379999995
70,03-11-14,0,84.349998,59,4976.649882
71,01-12-14,0,86.438004,57,4926.966228
72,01-01-15,3,83.814003,59,4945.026177
73,02-02-15,0,89.184998,56,4994.359888
74,02-03-15,0,89.413002,55,4917.71511
75,01-04-15,2,86.063004,58,4991.654232000001
76,04-05-15,0,83.530998,59,4928.328882
77,01-06-15,0,84.763,58,4916.254
78,01-07-15,2,85.218002,58,4942.6441159999995
79,03-08-15,0,86.635002,57,4938.195114
80,01-09-15,1,79.074997,63,4981.724811
81,01-10-15,3,80.293999,62,4978.227938
82,02-11-15,0,81.653,61,4980.8330000000005
83,01-12-15,1,80.392998,62,4984.365876000001
84,01-01-16,4,80.505997,62,4991.371813999999
85,01-02-16,0,76.414001,65,4966.910065
86,01-03-16,1,72.901001,68,4957.268067999999
87,01-04-16,4,78.151001,63,4923.513062999999
88,02-05-16,0,79.124001,63,4984.812063
89,01-06-16,2,82.885002,60,4973.10012
90,01-07-16,4,84.528,59,4987.152
91,01-08-16,0,87.969002,56,4926.264112
92,01-09-16,3,89.433998,55,4918.86989
