,Year,XIRR
0,2002 - 2006,0.3959999999999727
1,2003 - 2007,0.4432999999999675
2,2004 - 2008,-0.014399999999999968
3,2005 - 2009,0.16829999999999778
4,2006 - 2010,0.1509999999999997
5,2007 - 2011,0.035299999999999984
6,2008 - 2012,0.08770000000000149
7,2009 - 2013,0.08730000000000147
8,2010 - 2014,0.16379999999999828
9,2011 - 2015,0.10050000000000185
10,2012 - 2016,0.08370000000000137
11,2013 - 2017,0.1263000000000024
12,2014 - 2018,0.10720000000000204
13,2015 - 2019,0.11320000000000222
14,2016 - 2020,0.12430000000000253
15,2017 - 2021,0.18599999999999584
