,Year,XIRR
0,2002,0.05480000000000054
1,2003,1.0310999999999029
2,2004,0.3180999999999813
3,2005,0.5126999999999599
4,2006,0.5152999999999596
5,2007,0.7968999999999286
6,2008,-0.6692999999999426
7,2009,0.8407999999999237
8,2010,0.24419999999998943
9,2011,-0.1861999999999958
10,2012,0.2433999999999895
11,2013,0.13160000000000183
12,2014,0.4494999999999668
13,2015,-0.09350000000000165
14,2016,0.030199999999999873
15,2017,0.17659999999999687
16,2018,0.037800000000000056
17,2019,0.14030000000000087
18,2020,0.5066999999999605
19,2021,0.23319999999999064
