,Year,XIRR
0,2002 - 2004,0.33369999999997957
1,2003 - 2005,0.3980999999999725
2,2004 - 2006,0.4422999999999676
3,2005 - 2007,0.4948999999999618
4,2006 - 2008,-0.2434999999999895
5,2007 - 2009,0.14790000000000003
6,2008 - 2010,0.22109999999999197
7,2009 - 2011,0.03399999999999995
8,2010 - 2012,0.0603000000000007
9,2011 - 2013,0.08370000000000137
10,2012 - 2014,0.256899999999988
11,2013 - 2015,0.0917000000000016
12,2014 - 2016,0.0358
13,2015 - 2017,0.1274000000000023
14,2016 - 2018,0.12270000000000249
15,2017 - 2019,0.11240000000000219
16,2018 - 2020,0.1346000000000015
17,2019 - 2021,0.25589999999998814
