,Date,Day,Buy Price,Qty,Investment Amount
0,"Jan 09, 2002",2,10.91,22,240.02
1,"Jan 10, 2002",3,10.9,22,239.8
2,"Jan 11, 2002",4,10.81,22,237.82000000000002
3,"Jan 14, 2002",0,11.06,22,243.32000000000002
4,"Jan 15, 2002",1,10.91,22,240.02
5,"Jan 16, 2002",2,10.85,22,238.7
6,"Jan 17, 2002",3,11.11,22,244.42
7,"Jan 18, 2002",4,10.88,22,239.36
8,"Jan 21, 2002",0,10.85,22,238.7
9,"Jan 22, 2002",1,10.87,22,239.14
10,"Jan 23, 2002",2,10.8,22,237.60000000000002
11,"Jan 24, 2002",3,10.8,22,237.60000000000002
12,"Jan 25, 2002",4,10.79,22,237.38
13,"Jan 28, 2002",0,10.71,22,235.62
14,"Jan 29, 2002",1,10.75,22,236.5
15,"Jan 30, 2002",2,10.63,23,244.49
16,"Jan 31, 2002",3,10.8,22,237.60000000000002
17,"Feb 01, 2002",4,10.78,22,237.16
18,"Feb 04, 2002",0,10.72,22,235.84
19,"Feb 05, 2002",1,10.71,22,235.62
20,"Feb 06, 2002",2,11.12,22,244.64
21,"Feb 07, 2002",3,10.96,22,241.12
22,"Feb 08, 2002",4,11.19,21,234.98999999999998
23,"Feb 11, 2002",0,11.31,21,237.51000000000002
24,"Feb 12, 2002",1,11.28,21,236.88
25,"Feb 13, 2002",2,11.29,21,237.08999999999997
26,"Feb 14, 2002",3,11.44,21,240.23999999999998
27,"Feb 15, 2002",4,11.56,21,242.76000000000002
28,"Feb 18, 2002",0,11.62,21,244.01999999999998
29,"Feb 19, 2002",1,11.57,21,242.97
30,"Feb 20, 2002",2,11.41,21,239.61
31,"Feb 21, 2002",3,11.47,21,240.87
32,"Feb 22, 2002",4,11.54,21,242.33999999999997
33,"Feb 25, 2002",0,11.57,21,242.97
34,"Feb 26, 2002",1,11.83,20,236.6
35,"Feb 27, 2002",2,11.77,20,235.39999999999998
36,"Feb 28, 2002",3,11.39,21,239.19
37,"Mar 01, 2002",4,11.62,21,244.01999999999998
38,"Mar 04, 2002",0,11.65,21,244.65
39,"Mar 05, 2002",1,11.68,20,233.6
40,"Mar 06, 2002",2,11.6,21,243.6
41,"Mar 07, 2002",3,11.81,20,236.20000000000002
42,"Mar 08, 2002",4,11.85,20,237.0
43,"Mar 11, 2002",0,11.63,21,244.23000000000002
44,"Mar 12, 2002",1,11.44,21,240.23999999999998
45,"Mar 13, 2002",2,11.54,21,242.33999999999997
46,"Mar 14, 2002",3,11.53,21,242.13
47,"Mar 15, 2002",4,11.7,20,234.0
48,"Mar 18, 2002",0,11.71,20,234.20000000000002
49,"Mar 19, 2002",1,11.54,21,242.33999999999997
50,"Mar 20, 2002",2,11.59,21,243.39
51,"Mar 21, 2002",3,11.52,21,241.92
52,"Mar 22, 2002",4,11.44,21,240.23999999999998
53,"Mar 26, 2002",1,11.28,21,236.88
54,"Mar 27, 2002",2,11.29,21,237.08999999999997
55,"Mar 28, 2002",3,11.35,21,238.35
56,"Apr 01, 2002",0,11.39,21,239.19
57,"Apr 02, 2002",1,11.33,21,237.93
58,"Apr 03, 2002",2,11.22,21,235.62
59,"Apr 04, 2002",3,11.41,21,239.61
60,"Apr 05, 2002",4,11.4,21,239.4
61,"Apr 08, 2002",0,11.34,21,238.14
62,"Apr 09, 2002",1,11.29,21,237.08999999999997
63,"Apr 10, 2002",2,11.4,21,239.4
64,"Apr 11, 2002",3,11.45,21,240.45
65,"Apr 12, 2002",4,11.44,21,240.23999999999998
66,"Apr 15, 2002",0,11.32,21,237.72
67,"Apr 16, 2002",1,11.26,21,236.46
68,"Apr 17, 2002",2,11.32,21,237.72
69,"Apr 18, 2002",3,11.3,21,237.3
70,"Apr 19, 2002",4,11.04,22,242.88
71,"Apr 22, 2002",0,11.07,22,243.54000000000002
72,"Apr 23, 2002",1,11.05,22,243.10000000000002
73,"Apr 24, 2002",2,11.07,22,243.54000000000002
74,"Apr 25, 2002",3,11.04,22,242.88
75,"Apr 26, 2002",4,10.95,22,240.89999999999998
76,"Apr 29, 2002",0,10.8,22,237.60000000000002
