,Date,Day,Buy Price,Qty,Investment Amount
0,"Jan 31, 2002",3,10.8,462,4989.6
1,"Feb 28, 2002",3,11.39,438,4988.820000000001
2,"Mar 28, 2002",3,11.35,440,4994.0
3,"Apr 25, 2002",3,11.04,452,4990.08
4,"May 30, 2002",3,10.32,484,4994.88
5,"Jun 27, 2002",3,10.47,477,4994.1900000000005
6,"Jul 25, 2002",3,10.13,493,4994.09
7,"Aug 29, 2002",3,10.01,499,4994.99
8,"Sep 26, 2002",3,9.81,509,4993.29
9,"Oct 31, 2002",3,9.64,518,4993.52
10,"Nov 28, 2002",3,10.55,473,4990.150000000001
11,"Dec 26, 2002",3,11.1,450,4995.0
12,"Jan 30, 2003",3,10.51,475,4992.25
13,"Feb 27, 2003",3,10.58,472,4993.76
14,"Mar 27, 2003",3,10.14,493,4999.02
15,"Apr 24, 2003",3,9.52,525,4998.0
16,"May 29, 2003",3,10.0,500,5000.0
17,"Jun 26, 2003",3,11.18,447,4997.46
18,"Jul 31, 2003",3,12.0,416,4992.0
19,"Aug 28, 2003",3,13.3,375,4987.5
20,"Sep 25, 2003",3,13.47,371,4997.37
21,"Oct 30, 2003",3,15.21,328,4988.88
22,"Nov 27, 2003",3,16.02,312,4998.24
23,"Dec 18, 2003",3,17.42,287,4999.540000000001
24,"Jan 29, 2004",3,18.87,264,4981.68
25,"Feb 26, 2004",3,17.89,279,4991.31
26,"Mar 25, 2004",3,17.2,290,4988.0
27,"Apr 29, 2004",3,17.9,279,4994.099999999999
28,"May 27, 2004",3,15.93,313,4986.09
29,"Jun 24, 2004",3,14.97,334,4999.9800000000005
30,"Jul 29, 2004",3,16.11,310,4994.099999999999
31,"Aug 26, 2004",3,16.15,309,4990.349999999999
32,"Sep 30, 2004",3,17.76,281,4990.56
33,"Oct 28, 2004",3,18.3,273,4995.900000000001
34,"Nov 25, 2004",3,19.2,260,4992.0
35,"Dec 30, 2004",3,21.02,237,4981.74
36,"Jan 27, 2005",3,19.95,250,4987.5
37,"Feb 24, 2005",3,20.61,242,4987.62
38,"Mar 31, 2005",3,20.18,247,4984.46
39,"Apr 28, 2005",3,19.46,256,4981.76
40,"May 26, 2005",3,20.37,245,4990.650000000001
41,"Jun 30, 2005",3,22.15,225,4983.75
42,"Jul 21, 2005",3,22.5,222,4995.0
43,"Aug 25, 2005",3,23.6,211,4979.6
44,"Sep 29, 2005",3,27.07,184,4980.88
45,"Oct 27, 2005",3,23.96,208,4983.68
46,"Nov 24, 2005",3,26.73,187,4998.51
47,"Dec 29, 2005",3,28.35,176,4989.6
48,"Jan 19, 2006",3,29.0,172,4988.0
49,"Feb 23, 2006",3,30.93,161,4979.73
50,"Mar 30, 2006",3,36.54,136,4969.44
51,"Apr 27, 2006",3,35.63,140,4988.200000000001
52,"May 25, 2006",3,32.0,156,4992.0
53,"Jun 29, 2006",3,30.48,164,4998.72
54,"Jul 27, 2006",3,32.05,156,4999.799999999999
55,"Aug 31, 2006",3,34.9,143,4990.7
56,"Sep 28, 2006",3,36.5,136,4964.0
57,"Oct 26, 2006",3,37.55,133,4994.15
58,"Nov 30, 2006",3,40.29,124,4995.96
59,"Dec 28, 2006",3,40.8,122,4977.599999999999
60,"Jan 25, 2007",3,41.49,120,4978.8
61,"Feb 22, 2007",3,40.87,122,4986.139999999999
62,"Mar 29, 2007",3,38.17,130,4962.1
63,"Apr 26, 2007",3,42.03,118,4959.54
64,"May 31, 2007",3,43.27,115,4976.05
65,"Jun 28, 2007",3,42.92,116,4978.72
66,"Jul 26, 2007",3,46.56,107,4981.92
67,"Aug 30, 2007",3,44.5,112,4984.0
68,"Sep 27, 2007",3,50.2,99,4969.8
69,"Oct 25, 2007",3,56.2,88,4945.6
70,"Nov 29, 2007",3,57.29,87,4984.23
71,"Dec 27, 2007",3,61.59,81,4988.79
72,"Jan 31, 2008",3,52.08,96,4999.68
73,"Feb 28, 2008",3,53.0,94,4982.0
74,"Mar 27, 2008",3,48.83,102,4980.66
75,"Apr 24, 2008",3,50.61,98,4959.78
76,"May 29, 2008",3,49.03,101,4952.03
77,"Jun 26, 2008",3,43.53,114,4962.42
78,"Jul 31, 2008",3,44.29,112,4960.48
79,"Aug 28, 2008",3,43.02,116,4990.320000000001
80,"Sep 25, 2008",3,41.53,120,4983.6
81,"Oct 23, 2008",3,29.89,167,4991.63
82,"Nov 20, 2008",3,25.94,192,4980.4800000000005
83,"Dec 18, 2008",3,30.86,162,4999.32
84,"Jan 29, 2009",3,28.26,176,4973.76
85,"Feb 26, 2009",3,28.02,178,4987.5599999999995
86,"Mar 26, 2009",3,30.97,161,4986.17
87,"Apr 23, 2009",3,34.5,144,4968.0
88,"May 28, 2009",3,43.48,114,4956.719999999999
89,"Jun 25, 2009",3,42.97,116,4984.5199999999995
90,"Jul 30, 2009",3,45.49,109,4958.41
91,"Aug 27, 2009",3,46.84,106,4965.04
92,"Sep 24, 2009",3,49.65,100,4965.0
93,"Oct 29, 2009",3,47.98,104,4989.92
94,"Nov 26, 2009",3,50.23,99,4972.7699999999995
95,"Dec 31, 2009",3,52.17,95,4956.150000000001
96,"Jan 28, 2010",3,49.08,101,4957.08
97,"Feb 25, 2010",3,48.67,102,4964.34
98,"Mar 25, 2010",3,52.68,94,4951.92
99,"Apr 29, 2010",3,52.22,95,4960.9
100,"May 27, 2010",3,49.95,100,4995.0
101,"Jun 24, 2010",3,53.19,94,4999.86
102,"Jul 29, 2010",3,54.41,91,4951.3099999999995
103,"Aug 26, 2010",3,54.9,91,4995.9
104,"Sep 30, 2010",3,60.26,82,4941.32
105,"Oct 28, 2010",3,60.87,82,4991.34
106,"Nov 25, 2010",3,58.97,84,4953.48
107,"Dec 30, 2010",3,61.16,81,4953.96
108,"Jan 27, 2011",3,56.96,87,4955.52
109,"Feb 24, 2011",3,53.53,93,4978.29
110,"Mar 31, 2011",3,58.43,85,4966.55
111,"Apr 28, 2011",3,58.51,85,4973.349999999999
112,"May 26, 2011",3,55.11,90,4959.9
113,"Jun 30, 2011",3,56.99,87,4958.13
114,"Jul 28, 2011",3,56.18,88,4943.84
115,"Aug 25, 2011",3,49.67,100,4967.0
116,"Sep 29, 2011",3,50.81,98,4979.38
117,"Oct 20, 2011",3,51.84,96,4976.64
118,"Nov 24, 2011",3,48.57,102,4954.14
119,"Dec 29, 2011",3,47.43,105,4980.15
120,"Jan 19, 2012",3,50.6,98,4958.8
121,"Feb 23, 2012",3,55.61,89,4949.29
122,"Mar 29, 2012",3,52.25,95,4963.75
123,"Apr 26, 2012",3,52.39,95,4977.05
124,"May 31, 2012",3,49.87,100,4987.0
125,"Jun 28, 2012",3,51.93,96,4985.28
126,"Jul 26, 2012",3,51.19,97,4965.429999999999
127,"Aug 30, 2012",3,53.39,93,4965.27
128,"Sep 27, 2012",3,56.84,87,4945.08
129,"Oct 25, 2012",3,57.47,87,4999.89
130,"Nov 29, 2012",3,58.61,85,4981.85
131,"Dec 27, 2012",3,59.27,84,4978.68
132,"Jan 31, 2013",3,60.86,82,4990.5199999999995
133,"Feb 28, 2013",3,58.1,86,4996.6
134,"Mar 28, 2013",3,56.88,87,4948.56
135,"Apr 25, 2013",3,58.77,85,4995.45
136,"May 30, 2013",3,61.08,81,4947.48
137,"Jun 27, 2013",3,57.12,87,4969.44
138,"Jul 25, 2013",3,59.58,83,4945.139999999999
139,"Aug 29, 2013",3,54.59,91,4967.6900000000005
140,"Sep 26, 2013",3,59.6,83,4946.8
141,"Oct 31, 2013",3,63.59,78,4960.02
142,"Nov 28, 2013",3,61.55,81,4985.55
143,"Dec 26, 2013",3,63.56,78,4957.68
144,"Jan 30, 2014",3,61.67,81,4995.27
145,"Feb 20, 2014",3,61.83,80,4946.4
146,"Mar 27, 2014",3,66.27,75,4970.25
147,"Apr 17, 2014",3,67.94,73,4959.62
148,"May 29, 2014",3,72.96,68,4961.28
149,"Jun 26, 2014",3,75.63,66,4991.58
150,"Jul 31, 2014",3,78.01,64,4992.64
151,"Aug 28, 2014",3,80.61,62,4997.82
152,"Sep 25, 2014",3,80.24,62,4974.88
153,"Oct 30, 2014",3,82.84,60,4970.400000000001
154,"Nov 27, 2014",3,86.32,57,4920.24
155,"Dec 18, 2014",3,82.59,60,4955.400000000001
156,"Jan 29, 2015",3,90.22,55,4962.1
157,"Feb 26, 2015",3,87.37,57,4980.09
158,"Mar 26, 2015",3,84.32,59,4974.879999999999
159,"Apr 30, 2015",3,82.28,60,4936.8
160,"May 28, 2015",3,83.47,59,4924.73
161,"Jun 25, 2015",3,84.5,59,4985.5
162,"Jul 30, 2015",3,85.36,58,4950.88
163,"Aug 27, 2015",3,80.56,62,4994.72
164,"Sep 24, 2015",3,80.13,62,4968.0599999999995
165,"Oct 29, 2015",3,82.34,60,4940.400000000001
166,"Nov 26, 2015",3,79.8,62,4947.599999999999
167,"Dec 31, 2015",3,80.3,62,4978.599999999999
168,"Jan 28, 2016",3,75.05,66,4953.3
169,"Feb 25, 2016",3,70.73,70,4951.1
170,"Mar 31, 2016",3,79.13,63,4985.19
171,"Apr 28, 2016",3,79.47,62,4927.14
172,"May 26, 2016",3,81.52,61,4972.719999999999
173,"Jun 30, 2016",3,84.29,59,4973.110000000001
174,"Jul 28, 2016",3,88.12,56,4934.72
175,"Aug 25, 2016",3,87.75,56,4914.0
176,"Sep 29, 2016",3,88.06,56,4931.360000000001
177,"Oct 27, 2016",3,88.08,56,4932.48
178,"Nov 24, 2016",3,81.76,61,4987.360000000001
179,"Dec 29, 2016",3,82.58,60,4954.8
180,"Jan 19, 2017",3,85.95,58,4985.1
181,"Feb 23, 2017",3,91.13,54,4921.0199999999995
182,"Mar 30, 2017",3,93.76,53,4969.280000000001
183,"Apr 27, 2017",3,95.35,52,4958.2
184,"May 25, 2017",3,97.05,51,4949.55
185,"Jun 29, 2017",3,97.36,51,4965.36
186,"Jul 27, 2017",3,103.05,48,4946.4
187,"Aug 31, 2017",3,102.15,48,4903.200000000001
188,"Sep 28, 2017",3,101.0,49,4949.0
189,"Oct 26, 2017",3,106.38,47,4999.86
190,"Nov 30, 2017",3,105.75,47,4970.25
191,"Dec 28, 2017",3,107.99,46,4967.54
192,"Jan 25, 2018",3,113.93,43,4898.990000000001
193,"Feb 22, 2018",3,107.46,46,4943.16
194,"Mar 22, 2018",3,104.58,47,4915.26
195,"Apr 26, 2018",3,109.86,45,4943.7
196,"May 31, 2018",3,111.25,44,4895.0
197,"Jun 28, 2018",3,110.05,45,4952.25
198,"Jul 26, 2018",3,116.16,43,4994.88
199,"Aug 30, 2018",3,121.71,41,4990.11
200,"Sep 27, 2018",3,114.64,43,4929.52
201,"Oct 25, 2018",3,106.13,47,4988.11
202,"Nov 29, 2018",3,113.55,44,4996.2
203,"Dec 27, 2018",3,112.98,44,4971.12
204,"Jan 31, 2019",3,113.47,44,4992.68
205,"Feb 28, 2019",3,113.36,44,4987.84
206,"Mar 28, 2019",3,120.98,41,4960.18
207,"Apr 25, 2019",3,122.43,40,4897.200000000001
208,"May 30, 2019",3,125.48,39,4893.72
209,"Jun 27, 2019",3,124.82,40,4992.799999999999
210,"Jul 25, 2019",3,118.99,42,4997.58
211,"Aug 29, 2019",3,116.12,43,4993.16
212,"Sep 26, 2019",3,122.76,40,4910.400000000001
213,"Oct 31, 2019",3,125.5,39,4894.5
214,"Nov 28, 2019",3,128.41,38,4879.58
215,"Dec 26, 2019",3,128.69,38,4890.22
216,"Jan 30, 2020",3,127.74,39,4981.86
217,"Feb 27, 2020",3,123.64,40,4945.6
218,"Mar 26, 2020",3,92.68,53,4912.04
219,"Apr 30, 2020",3,104.18,47,4896.46
220,"May 28, 2020",3,100.37,49,4918.13
221,"Jun 25, 2020",3,109.05,45,4907.25
222,"Jul 30, 2020",3,117.96,42,4954.32
223,"Aug 27, 2020",3,122.91,40,4916.4
224,"Sep 24, 2020",3,115.76,43,4977.68
225,"Oct 29, 2020",3,124.72,40,4988.8
226,"Nov 26, 2020",3,138.24,36,4976.64
227,"Dec 31, 2020",3,149.07,33,4919.3099999999995
228,"Jan 28, 2021",3,147.99,33,4883.67
