,Date,Day,Buy Price,Qty,Investment Amount
0,"Jan 17, 2002",3,11.11,450,4999.5
1,"Feb 26, 2002",1,11.83,422,4992.26
2,"Mar 08, 2002",4,11.85,421,4988.849999999999
3,"Apr 11, 2002",3,11.45,436,4992.2
4,"May 09, 2002",3,11.23,445,4997.35
5,"Jun 11, 2002",1,10.93,457,4995.01
6,"Jul 08, 2002",0,10.88,459,4993.92
7,"Aug 30, 2002",4,10.19,490,4993.099999999999
8,"Sep 02, 2002",0,10.26,487,4996.62
9,"Oct 17, 2002",3,9.89,505,4994.450000000001
10,"Nov 29, 2002",4,10.64,469,4990.16
11,"Dec 27, 2002",4,11.12,449,4992.879999999999
12,"Jan 01, 2003",2,11.14,448,4990.72
13,"Feb 24, 2003",0,10.79,463,4995.7699999999995
14,"Mar 03, 2003",0,10.64,469,4990.16
15,"Apr 07, 2003",0,10.32,484,4994.88
16,"May 29, 2003",3,10.0,500,5000.0
17,"Jun 30, 2003",0,11.44,437,4999.28
18,"Jul 30, 2003",2,12.0,416,4992.0
19,"Aug 29, 2003",4,13.6,367,4991.2
20,"Sep 30, 2003",1,14.21,351,4987.71
21,"Oct 17, 2003",4,15.75,317,4992.75
22,"Nov 04, 2003",1,16.19,308,4986.52
23,"Dec 31, 2003",2,18.8,265,4982.0
24,"Jan 15, 2004",3,19.93,250,4982.5
25,"Feb 16, 2004",0,19.35,258,4992.3
26,"Mar 08, 2004",0,18.96,263,4986.4800000000005
27,"Apr 23, 2004",4,19.0,263,4997.0
28,"May 06, 2004",3,18.26,273,4984.9800000000005
29,"Jun 15, 2004",1,16.07,311,4997.77
30,"Jul 30, 2004",4,16.39,305,4998.95
31,"Aug 10, 2004",1,16.69,299,4990.31
32,"Sep 22, 2004",2,17.8,280,4984.0
33,"Oct 07, 2004",3,18.52,269,4981.88
34,"Nov 30, 2004",1,19.75,253,4996.75
35,"Dec 29, 2004",2,21.23,235,4989.05
36,"Jan 03, 2005",0,21.62,231,4994.22
37,"Feb 14, 2005",0,21.44,233,4995.52
38,"Mar 10, 2005",3,21.8,229,4992.2
39,"Apr 06, 2005",2,20.72,241,4993.5199999999995
40,"May 31, 2005",1,20.95,238,4986.099999999999
41,"Jun 30, 2005",3,22.15,225,4983.75
42,"Jul 29, 2005",4,23.45,213,4994.849999999999
43,"Aug 17, 2005",2,24.32,205,4985.6
44,"Sep 29, 2005",3,27.07,184,4980.88
45,"Oct 04, 2005",1,26.88,186,4999.679999999999
46,"Nov 28, 2005",0,27.2,183,4977.599999999999
47,"Dec 30, 2005",4,28.71,174,4995.54
48,"Jan 31, 2006",1,30.25,165,4991.25
