,Date,Day,Buy Price,Qty,Investment Amount
0,"Jan 30, 2002",2,10.63,470,4996.1
1,"Feb 05, 2002",1,10.71,466,4990.860000000001
2,"Mar 26, 2002",1,11.28,443,4997.04
3,"Apr 29, 2002",0,10.8,462,4989.6
4,"May 31, 2002",4,10.3,485,4995.5
5,"Jun 03, 2002",0,10.41,480,4996.8
6,"Jul 31, 2002",2,9.7,515,4995.5
7,"Aug 02, 2002",4,9.61,520,4997.2
8,"Sep 30, 2002",0,9.75,512,4992.0
9,"Oct 28, 2002",0,9.4,531,4991.400000000001
10,"Nov 01, 2002",4,9.65,518,4998.7
11,"Dec 04, 2002",2,10.55,473,4990.150000000001
12,"Jan 30, 2003",3,10.51,475,4992.25
13,"Feb 14, 2003",4,10.51,475,4992.25
14,"Mar 31, 2003",0,9.87,506,4994.219999999999
15,"Apr 25, 2003",4,9.38,533,4999.54
16,"May 09, 2003",4,9.42,530,4992.6
17,"Jun 02, 2003",0,10.11,494,4994.34
18,"Jul 22, 2003",1,11.25,444,4995.0
19,"Aug 06, 2003",2,11.99,417,4999.83
20,"Sep 22, 2003",0,13.05,383,4998.150000000001
21,"Oct 01, 2003",2,14.27,350,4994.5
22,"Nov 20, 2003",3,15.29,327,4999.83
23,"Dec 08, 2003",0,16.47,303,4990.41
24,"Jan 22, 2004",3,17.81,280,4986.799999999999
25,"Feb 03, 2004",1,17.72,282,4997.04
26,"Mar 24, 2004",2,16.94,295,4997.3
27,"Apr 29, 2004",3,17.9,279,4994.099999999999
28,"May 17, 2004",0,14.19,352,4994.88
29,"Jun 23, 2004",2,14.71,339,4986.6900000000005
30,"Jul 14, 2004",2,15.26,327,4990.0199999999995
31,"Aug 24, 2004",1,16.0,312,4992.0
32,"Sep 02, 2004",3,16.45,303,4984.349999999999
33,"Oct 25, 2004",0,17.77,281,4993.37
34,"Nov 01, 2004",0,18.1,276,4995.6
35,"Dec 01, 2004",2,19.85,251,4982.35
36,"Jan 12, 2005",2,19.5,256,4992.0
37,"Feb 21, 2005",0,20.5,243,4981.5
38,"Mar 30, 2005",2,19.9,251,4994.9
39,"Apr 19, 2005",1,19.21,260,4994.6
40,"May 02, 2005",0,19.17,260,4984.200000000001
41,"Jun 03, 2005",4,20.84,239,4980.76
42,"Jul 08, 2005",4,21.9,228,4993.2
43,"Aug 24, 2005",2,23.2,215,4988.0
44,"Sep 01, 2005",3,24.2,206,4985.2
45,"Oct 28, 2005",4,23.28,214,4981.92
46,"Nov 02, 2005",2,24.32,205,4985.6
47,"Dec 05, 2005",0,26.78,186,4981.08
48,"Jan 18, 2006",2,28.35,176,4989.6
49,"Feb 03, 2006",4,29.98,166,4976.68
50,"Mar 09, 2006",3,31.45,158,4969.099999999999
51,"Apr 13, 2006",3,33.97,147,4993.59
52,"May 31, 2006",2,30.87,161,4970.07
53,"Jun 14, 2006",2,26.7,187,4992.9
54,"Jul 21, 2006",4,29.91,167,4994.97
55,"Aug 01, 2006",1,31.82,157,4995.74
56,"Sep 12, 2006",1,34.6,144,4982.400000000001
57,"Oct 04, 2006",2,36.0,138,4968.0
58,"Nov 01, 2006",2,38.3,130,4979.0
59,"Dec 12, 2006",1,37.85,132,4996.2
60,"Jan 10, 2007",2,38.83,128,4970.24
61,"Feb 28, 2007",2,37.85,132,4996.2
62,"Mar 05, 2007",0,36.04,138,4973.5199999999995
63,"Apr 02, 2007",0,36.95,135,4988.25
64,"May 11, 2007",4,40.91,122,4991.0199999999995
65,"Jun 12, 2007",1,41.61,120,4993.2
66,"Jul 05, 2007",3,43.52,114,4961.280000000001
67,"Aug 21, 2007",1,41.44,120,4972.799999999999
68,"Sep 03, 2007",0,45.28,110,4980.8
69,"Oct 08, 2007",0,51.08,97,4954.76
70,"Nov 22, 2007",3,56.03,89,4986.67
71,"Dec 18, 2007",1,58.22,85,4948.7
72,"Jan 22, 2008",1,49.56,100,4956.0
73,"Feb 12, 2008",1,49.12,101,4961.12
74,"Mar 17, 2008",0,45.86,109,4998.74
75,"Apr 04, 2008",4,47.22,105,4958.099999999999
76,"May 29, 2008",3,49.03,101,4952.03
77,"Jun 30, 2008",0,41.09,121,4971.89
78,"Jul 16, 2008",2,38.67,129,4988.43
79,"Aug 28, 2008",3,43.02,116,4990.320000000001
80,"Sep 29, 2008",0,38.95,128,4985.6
81,"Oct 27, 2008",0,25.61,195,4993.95
82,"Nov 20, 2008",3,25.94,192,4980.4800000000005
83,"Dec 03, 2008",2,26.95,185,4985.75
84,"Jan 23, 2009",4,27.21,183,4979.43
85,"Feb 20, 2009",4,27.49,181,4975.69
86,"Mar 05, 2009",3,25.98,192,4988.16
87,"Apr 01, 2009",2,30.87,161,4970.07
88,"May 11, 2009",0,35.73,139,4966.469999999999
89,"Jun 25, 2009",3,42.97,116,4984.5199999999995
90,"Jul 13, 2009",0,39.89,125,4986.25
91,"Aug 17, 2009",0,44.2,113,4994.6
92,"Sep 03, 2009",3,45.77,109,4988.93
93,"Oct 30, 2009",4,47.56,105,4993.8
94,"Nov 03, 2009",1,46.15,108,4984.2
95,"Dec 21, 2009",0,49.79,100,4979.0
96,"Jan 27, 2010",2,48.95,102,4992.900000000001
97,"Feb 05, 2010",4,47.69,104,4959.76
98,"Mar 02, 2010",1,50.36,99,4985.64
99,"Apr 28, 2010",2,51.99,96,4991.04
100,"May 25, 2010",1,48.55,102,4952.099999999999
101,"Jun 01, 2010",1,50.11,99,4960.89
102,"Jul 07, 2010",2,52.7,94,4953.8
103,"Aug 31, 2010",1,54.12,92,4979.04
104,"Sep 01, 2010",2,54.77,91,4984.070000000001
105,"Oct 20, 2010",2,60.2,83,4996.6
106,"Nov 26, 2010",4,58.4,85,4964.0
107,"Dec 09, 2010",3,58.53,85,4975.05
108,"Jan 31, 2011",0,55.47,90,4992.3
109,"Feb 10, 2011",3,53.12,94,4993.28
110,"Mar 21, 2011",0,54.54,91,4963.14
111,"Apr 18, 2011",0,57.76,86,4967.36
112,"May 25, 2011",2,54.46,91,4955.86
113,"Jun 20, 2011",0,53.72,93,4995.96
114,"Jul 28, 2011",3,56.18,88,4943.84
115,"Aug 26, 2011",4,48.73,102,4970.46
116,"Sep 26, 2011",0,49.39,101,4988.39
117,"Oct 05, 2011",2,48.54,103,4999.62
118,"Nov 23, 2011",2,48.26,103,4970.78
119,"Dec 20, 2011",1,46.39,107,4963.7300000000005
120,"Jan 02, 2012",0,47.18,105,4953.9
121,"Feb 01, 2012",2,53.0,94,4982.0
122,"Mar 26, 2012",0,52.19,95,4958.05
123,"Apr 27, 2012",4,52.14,95,4953.3
124,"May 23, 2012",2,48.77,102,4974.54
125,"Jun 01, 2012",4,49.01,102,4999.0199999999995
126,"Jul 26, 2012",3,51.19,97,4965.429999999999
127,"Aug 03, 2012",4,52.68,94,4951.92
128,"Sep 05, 2012",2,52.6,95,4997.0
129,"Oct 30, 2012",1,56.48,88,4970.24
130,"Nov 20, 2012",1,56.12,89,4994.679999999999
131,"Dec 13, 2012",3,58.84,84,4942.56
132,"Jan 11, 2013",4,59.93,83,4974.19
133,"Feb 28, 2013",3,58.1,86,4996.6
134,"Mar 26, 2013",1,56.37,88,4960.5599999999995
135,"Apr 09, 2013",1,55.43,90,4988.7
136,"May 03, 2013",4,59.17,84,4970.28
137,"Jun 26, 2013",2,56.3,88,4954.4
138,"Jul 31, 2013",2,58.12,86,4998.32
139,"Aug 28, 2013",2,53.58,93,4982.94
140,"Sep 03, 2013",1,54.27,92,4992.84
141,"Oct 01, 2013",1,58.6,85,4981.0
142,"Nov 13, 2013",2,60.62,82,4970.84
143,"Dec 17, 2013",1,62.06,80,4964.8
144,"Jan 30, 2014",3,61.67,81,4995.27
145,"Feb 13, 2014",3,60.83,82,4988.0599999999995
146,"Mar 03, 2014",0,62.88,79,4967.52
147,"Apr 07, 2014",0,67.0,74,4958.0
148,"May 08, 2014",3,66.77,74,4940.98
149,"Jun 02, 2014",0,73.74,67,4940.58
150,"Jul 14, 2014",0,75.04,66,4952.64
151,"Aug 08, 2014",4,76.76,65,4989.400000000001
152,"Sep 25, 2014",3,80.24,62,4974.88
153,"Oct 16, 2014",3,78.69,63,4957.47
154,"Nov 03, 2014",0,84.35,59,4976.65
155,"Dec 17, 2014",2,81.52,61,4972.719999999999
