,Date,Day,Buy Price,Qty,Investment Amount
0,"Jan 09, 2002",2,10.91,458,4996.78
1,"Feb 01, 2002",4,10.78,463,4991.139999999999
2,"Mar 01, 2002",4,11.62,430,4996.599999999999
3,"Apr 01, 2002",0,11.39,438,4988.820000000001
4,"May 02, 2002",3,10.96,456,4997.76
5,"Jun 03, 2002",0,10.41,480,4996.8
6,"Jul 01, 2002",0,10.66,469,4999.54
7,"Aug 01, 2002",3,9.72,514,4996.08
8,"Sep 02, 2002",0,10.26,487,4996.62
9,"Oct 01, 2002",1,9.64,518,4993.52
10,"Nov 01, 2002",4,9.65,518,4998.7
11,"Dec 02, 2002",0,10.79,463,4995.7699999999995
12,"Jan 01, 2003",2,11.14,448,4990.72
13,"Feb 03, 2003",0,10.7,467,4996.9
14,"Mar 03, 2003",0,10.64,469,4990.16
15,"Apr 01, 2003",1,9.91,504,4994.64
16,"May 02, 2003",4,9.54,524,4998.959999999999
17,"Jun 02, 2003",0,10.11,494,4994.34
18,"Jul 01, 2003",1,11.3,442,4994.6
19,"Aug 01, 2003",4,12.07,414,4996.9800000000005
20,"Sep 01, 2003",0,13.7,364,4986.8
21,"Oct 01, 2003",2,14.27,350,4994.5
22,"Nov 03, 2003",0,16.01,312,4995.120000000001
23,"Dec 01, 2003",0,16.62,300,4986.0
24,"Jan 01, 2004",3,19.1,261,4985.1
25,"Feb 03, 2004",1,17.72,282,4997.04
26,"Mar 01, 2004",0,18.48,270,4989.6
27,"Apr 01, 2004",3,18.2,274,4986.8
28,"May 03, 2004",0,17.74,281,4984.94
29,"Jun 01, 2004",1,15.15,330,4999.5
30,"Jul 01, 2004",3,15.33,326,4997.58
31,"Aug 02, 2004",0,16.48,303,4993.4400000000005
32,"Sep 01, 2004",2,16.48,303,4993.4400000000005
33,"Oct 01, 2004",4,17.93,278,4984.54
34,"Nov 01, 2004",0,18.1,276,4995.6
35,"Dec 01, 2004",2,19.85,251,4982.35
36,"Jan 03, 2005",0,21.62,231,4994.22
37,"Feb 01, 2005",1,21.0,238,4998.0
38,"Mar 01, 2005",1,20.75,240,4980.0
39,"Apr 01, 2005",4,20.68,241,4983.88
40,"May 02, 2005",0,19.17,260,4984.200000000001
41,"Jun 01, 2005",2,20.95,238,4986.099999999999
42,"Jul 01, 2005",4,22.1,226,4994.6
43,"Aug 01, 2005",0,23.41,213,4986.33
44,"Sep 01, 2005",3,24.2,206,4985.2
45,"Oct 03, 2005",0,26.4,189,4989.599999999999
46,"Nov 01, 2005",1,24.34,205,4989.7
47,"Dec 01, 2005",3,27.29,183,4994.07
48,"Jan 02, 2006",0,28.82,173,4985.86
49,"Feb 01, 2006",2,30.0,166,4980.0
50,"Mar 01, 2006",2,31.5,158,4977.0
51,"Apr 03, 2006",0,34.95,143,4997.85
52,"May 02, 2006",1,36.4,137,4986.8
53,"Jun 01, 2006",3,30.32,164,4972.4800000000005
54,"Jul 03, 2006",0,31.9,156,4976.4
55,"Aug 01, 2006",1,31.82,157,4995.74
56,"Sep 01, 2006",4,35.11,142,4985.62
57,"Oct 03, 2006",1,36.4,137,4986.8
58,"Nov 01, 2006",2,38.3,130,4979.0
59,"Dec 01, 2006",4,40.8,122,4977.599999999999
60,"Jan 02, 2007",1,41.1,121,4973.1
61,"Feb 01, 2007",3,41.3,121,4997.299999999999
62,"Mar 01, 2007",3,38.14,131,4996.34
63,"Apr 02, 2007",0,36.95,135,4988.25
64,"May 03, 2007",3,41.9,119,4986.099999999999
65,"Jun 01, 2007",4,43.46,115,4997.900000000001
66,"Jul 02, 2007",0,43.55,114,4964.7
67,"Aug 01, 2007",2,44.03,113,4975.39
