,Date,Week,Buy Price,Qty,Investment Amount
0,"Jan 09, 2002",2,10.91,105,1145.55
1,"Jan 14, 2002",3,11.06,104,1150.24
2,"Jan 21, 2002",4,10.85,106,1150.1
3,"Jan 28, 2002",5,10.71,107,1145.97
4,"Feb 04, 2002",6,10.72,107,1147.04
5,"Feb 11, 2002",7,11.31,102,1153.6200000000001
6,"Feb 18, 2002",8,11.62,99,1150.3799999999999
7,"Feb 25, 2002",9,11.57,99,1145.43
8,"Mar 04, 2002",10,11.65,99,1153.3500000000001
9,"Mar 11, 2002",11,11.63,99,1151.3700000000001
10,"Mar 18, 2002",12,11.71,98,1147.5800000000002
11,"Mar 26, 2002",13,11.28,102,1150.56
12,"Apr 01, 2002",14,11.39,101,1150.39
13,"Apr 08, 2002",15,11.34,101,1145.34
14,"Apr 15, 2002",16,11.32,101,1143.32
15,"Apr 22, 2002",17,11.07,104,1151.28
16,"Apr 29, 2002",18,10.8,106,1144.8000000000002
17,"May 06, 2002",19,11.03,104,1147.12
18,"May 13, 2002",20,11.17,103,1150.51
19,"May 20, 2002",21,10.79,106,1143.74
20,"May 27, 2002",22,10.54,109,1148.86
21,"Jun 03, 2002",23,10.41,110,1145.1
22,"Jun 10, 2002",24,10.61,108,1145.8799999999999
23,"Jun 17, 2002",25,10.9,105,1144.5
24,"Jun 24, 2002",26,10.6,108,1144.8
25,"Jul 01, 2002",27,10.66,108,1151.28
26,"Jul 08, 2002",28,10.88,106,1153.28
27,"Jul 15, 2002",29,10.5,109,1144.5
28,"Jul 22, 2002",30,10.22,112,1144.64
29,"Jul 29, 2002",31,9.78,117,1144.26
30,"Aug 05, 2002",32,9.66,119,1149.54
31,"Aug 12, 2002",33,9.82,117,1148.94
32,"Aug 19, 2002",34,9.98,115,1147.7
33,"Aug 26, 2002",35,10.13,113,1144.69
34,"Sep 02, 2002",36,10.26,112,1149.12
35,"Sep 09, 2002",37,10.04,114,1144.56
36,"Sep 16, 2002",38,10.04,114,1144.56
37,"Sep 23, 2002",39,9.8,117,1146.6000000000001
38,"Sep 30, 2002",40,9.75,118,1150.5
39,"Oct 07, 2002",41,9.69,119,1153.11
40,"Oct 14, 2002",42,9.83,117,1150.11
41,"Oct 21, 2002",43,9.8,117,1146.6000000000001
42,"Oct 28, 2002",44,9.4,122,1146.8
43,"Nov 04, 2002",45,9.78,117,1144.26
44,"Nov 11, 2002",46,9.71,118,1145.7800000000002
45,"Nov 18, 2002",47,10.11,114,1152.54
46,"Nov 25, 2002",48,10.38,111,1152.18
47,"Dec 02, 2002",49,10.79,106,1143.74
48,"Dec 09, 2002",50,10.71,107,1145.97
49,"Dec 16, 2002",51,10.9,105,1144.5
50,"Dec 23, 2002",52,10.88,106,1153.28
51,"Dec 30, 2002",1,11.07,104,1151.28
52,"Jan 01, 2003",1,11.14,103,1147.42
53,"Jan 06, 2003",2,10.99,104,1142.96
54,"Jan 13, 2003",3,10.92,105,1146.6
55,"Jan 20, 2003",4,10.91,105,1145.55
56,"Jan 27, 2003",5,10.54,109,1148.86
57,"Feb 03, 2003",6,10.7,107,1144.8999999999999
58,"Feb 10, 2003",7,10.62,108,1146.9599999999998
59,"Feb 17, 2003",8,10.78,107,1153.46
60,"Feb 24, 2003",9,10.79,106,1143.74
61,"Mar 03, 2003",10,10.64,108,1149.1200000000001
62,"Mar 10, 2003",11,10.15,113,1146.95
63,"Mar 17, 2003",12,10.04,114,1144.56
64,"Mar 24, 2003",13,10.2,113,1152.6
65,"Mar 31, 2003",14,9.87,116,1144.9199999999998
66,"Apr 07, 2003",15,10.32,111,1145.52
67,"Apr 15, 2003",16,9.65,119,1148.3500000000001
68,"Apr 21, 2003",17,9.63,119,1145.97
69,"Apr 28, 2003",18,9.43,122,1150.46
70,"May 05, 2003",19,9.55,120,1146.0
71,"May 12, 2003",20,9.44,122,1151.6799999999998
72,"May 19, 2003",21,9.69,119,1153.11
73,"May 26, 2003",22,9.91,116,1149.56
74,"Jun 02, 2003",23,10.11,114,1152.54
75,"Jun 09, 2003",24,10.5,109,1144.5
76,"Jun 16, 2003",25,10.61,108,1145.8799999999999
77,"Jun 23, 2003",26,11.01,104,1145.04
78,"Jun 30, 2003",27,11.44,100,1144.0
79,"Jul 07, 2003",28,11.6,99,1148.3999999999999
80,"Jul 14, 2003",29,11.86,97,1150.4199999999998
81,"Jul 21, 2003",30,11.35,101,1146.35
82,"Jul 28, 2003",31,11.96,96,1148.16
83,"Aug 04, 2003",32,12.25,94,1151.5
84,"Aug 11, 2003",33,12.57,91,1143.8700000000001
85,"Aug 18, 2003",34,12.86,89,1144.54
86,"Aug 25, 2003",35,12.81,90,1152.9
87,"Sep 01, 2003",36,13.7,84,1150.8
88,"Sep 08, 2003",37,14.16,81,1146.96
89,"Sep 15, 2003",38,13.3,86,1143.8
90,"Sep 22, 2003",39,13.05,88,1148.4
91,"Sep 29, 2003",40,13.91,82,1140.6200000000001
92,"Oct 06, 2003",41,14.71,78,1147.38
93,"Oct 13, 2003",42,15.53,74,1149.22
94,"Oct 20, 2003",43,15.72,73,1147.56
95,"Oct 27, 2003",44,14.96,77,1151.92
96,"Nov 03, 2003",45,16.01,72,1152.72
97,"Nov 10, 2003",46,16.01,72,1152.72
98,"Nov 17, 2003",47,15.86,72,1141.92
99,"Nov 24, 2003",48,15.33,75,1149.75
100,"Dec 01, 2003",49,16.62,69,1146.78
101,"Dec 08, 2003",50,16.47,70,1152.8999999999999
102,"Dec 15, 2003",51,17.17,67,1150.39
103,"Dec 22, 2003",52,17.86,64,1143.04
104,"Jan 01, 2004",1,19.1,59,1126.9
105,"Jan 05, 2004",2,19.32,58,1120.56
106,"Jan 12, 2004",3,19.34,58,1121.72
107,"Jan 19, 2004",4,19.02,59,1122.18
108,"Jan 27, 2004",5,18.84,60,1130.4
109,"Feb 03, 2004",6,17.72,63,1116.36
110,"Feb 09, 2004",7,18.71,60,1122.6000000000001
111,"Feb 16, 2004",8,19.35,58,1122.3000000000002
112,"Feb 23, 2004",9,18.31,61,1116.9099999999999
113,"Mar 01, 2004",10,18.48,61,1127.28
114,"Mar 08, 2004",11,18.96,59,1118.64
115,"Mar 15, 2004",12,17.82,63,1122.66
116,"Mar 22, 2004",13,17.05,66,1125.3
117,"Mar 29, 2004",14,17.43,64,1115.52
118,"Apr 05, 2004",15,18.54,61,1130.94
119,"Apr 12, 2004",16,18.68,60,1120.8
120,"Apr 19, 2004",17,18.58,60,1114.8
121,"Apr 27, 2004",18,18.35,61,1119.3500000000001
122,"May 03, 2004",19,17.74,63,1117.62
123,"May 10, 2004",20,17.68,64,1131.52
124,"May 17, 2004",21,14.19,79,1121.01
125,"May 24, 2004",22,16.11,70,1127.7
126,"May 31, 2004",23,14.82,76,1126.32
127,"Jun 07, 2004",24,15.46,73,1128.5800000000002
128,"Jun 14, 2004",25,15.2,74,1124.8
129,"Jun 21, 2004",26,15.05,75,1128.75
130,"Jun 28, 2004",27,15.1,74,1117.3999999999999
131,"Jul 05, 2004",28,15.39,73,1123.47
132,"Jul 12, 2004",29,15.62,72,1124.6399999999999
133,"Jul 19, 2004",30,15.9,71,1128.9
134,"Jul 26, 2004",31,16.34,69,1127.46
135,"Aug 02, 2004",32,16.48,68,1120.64
136,"Aug 09, 2004",33,16.41,68,1115.88
137,"Aug 16, 2004",34,16.16,70,1131.2
138,"Aug 23, 2004",35,16.01,70,1120.7
139,"Aug 30, 2004",36,16.34,69,1127.46
140,"Sep 06, 2004",37,16.6,68,1128.8000000000002
141,"Sep 13, 2004",38,16.98,66,1120.68
142,"Sep 20, 2004",39,17.4,65,1131.0
143,"Sep 27, 2004",40,17.3,65,1124.5
144,"Oct 04, 2004",41,18.23,62,1130.26
145,"Oct 11, 2004",42,18.49,61,1127.8899999999999
146,"Oct 18, 2004",43,18.15,62,1125.3
147,"Oct 25, 2004",44,17.77,63,1119.51
148,"Nov 01, 2004",45,18.1,62,1122.2
149,"Nov 08, 2004",46,18.85,60,1131.0
150,"Nov 16, 2004",47,18.87,59,1113.3300000000002
151,"Nov 22, 2004",48,18.88,59,1113.9199999999998
152,"Nov 29, 2004",49,19.5,58,1131.0
153,"Dec 06, 2004",50,20.27,55,1114.85
154,"Dec 13, 2004",51,20.1,56,1125.6000000000001
155,"Dec 20, 2004",52,20.45,55,1124.75
156,"Dec 27, 2004",53,21.03,53,1114.5900000000001
157,"Jan 03, 2005",1,21.62,53,1145.8600000000001
158,"Jan 10, 2005",2,20.2,57,1151.3999999999999
159,"Jan 17, 2005",3,19.6,58,1136.8000000000002
160,"Jan 24, 2005",4,19.6,58,1136.8000000000002
161,"Jan 31, 2005",5,20.86,55,1147.3
162,"Feb 07, 2005",6,21.1,54,1139.4
163,"Feb 14, 2005",7,21.44,53,1136.3200000000002
164,"Feb 21, 2005",8,20.5,56,1148.0
165,"Feb 28, 2005",9,21.03,54,1135.6200000000001
166,"Mar 07, 2005",10,21.52,53,1140.56
