,Date,Week,Buy Price,Qty,Investment Amount
0,02-01-09,1,30.556,37,1130.5720000000001
1,05-01-09,2,31.174999,37,1153.474963
2,12-01-09,3,27.726,41,1136.766
3,19-01-09,4,28.445999,40,1137.83996
4,27-01-09,5,27.721001,41,1136.561041
5,02-02-09,6,28.17,40,1126.8000000000002
6,09-02-09,7,29.327999,39,1143.791961
7,16-02-09,8,28.542,40,1141.68
8,24-02-09,9,27.523001,41,1128.443041
9,02-03-09,10,27.046,42,1135.932
10,09-03-09,11,26.24,43,1128.32
11,16-03-09,12,28.018,41,1148.738
12,23-03-09,13,29.473,39,1149.447
13,30-03-09,14,29.834,38,1133.692
14,06-04-09,15,32.702,35,1144.57
15,13-04-09,16,33.868,34,1151.5120000000002
16,20-04-09,17,33.817001,34,1149.778034
17,27-04-09,18,34.890999,33,1151.402967
18,04-05-09,19,36.598,31,1134.538
19,11-05-09,20,35.73,32,1143.36
20,18-05-09,21,42.757,26,1111.682
21,25-05-09,22,42.609001,27,1150.443027
22,01-06-09,23,45.466999,25,1136.6749750000001
23,08-06-09,24,44.492001,25,1112.300025
24,15-06-09,25,45.105999,25,1127.6499749999998
25,22-06-09,26,43.067001,26,1119.742026
26,29-06-09,27,44.646999,25,1116.1749750000001
27,06-07-09,28,42.432999,27,1145.690973
28,13-07-09,29,39.887001,28,1116.836028
29,20-07-09,30,44.995998,25,1124.89995
30,27-07-09,31,45.556,25,1138.8999999999999
31,03-08-09,32,46.926998,24,1126.247952
32,10-08-09,33,44.404999,25,1110.124975
33,17-08-09,34,44.198002,26,1149.148052
34,24-08-09,35,46.499001,24,1115.976024
35,31-08-09,36,46.744999,24,1121.879976
36,07-09-09,37,47.716,24,1145.184
37,14-09-09,38,48.013,24,1152.312
38,22-09-09,39,50.062,23,1151.426
39,29-09-09,40,49.698002,23,1143.054046
40,05-10-09,41,50.018002,23,1150.414046
41,12-10-09,42,50.366001,22,1108.0520219999999
42,20-10-09,43,51.016998,22,1122.373956
43,26-10-09,44,49.868,23,1146.964
